resource, consumer1, toxin, environment
25, 83, 24, -1
13, 61, 26, -1
10, 101, 23, -1
33, 57, 120, 1
20, 52, 157, 1
16, 60, 153, 1
28, 42, 138, 1
17, 84, 22, -1
26, 85, 25, -1
16, 83, 32, -1
12, 88, 23, -1
46, 28, 179, 1
14, 96, 25, -1
15, 83, 24, -1
32, 45, 139, 1
40, 38, 147, 1
38, 32, 207, 1
14, 105, 17, -1
43, 31, 143, 1
13, 88, 23, -1
32, 39, 184, 1
22, 41, 136, 1
22, 66, 22, -1
11, 65, 25, -1
14, 78, 19, -1
16, 92, 29, -1
16, 78, 22, -1
17, 55, 139, 1
14, 78, 24, -1
25, 48, 134, 1
29, 35, 149, 1
12, 80, 22, -1
39, 27, 175, 1
20, 74, 21, -1
33, 53, 127, 1
13, 77, 20, -1
17, 81, 17, -1
14, 94, 16, -1
31, 43, 176, 1
19, 78, 23, -1
20, 71, 20, -1
39, 48, 171, 1
30, 46, 144, 1
16, 68, 23, -1
21, 61, 22, -1
22, 87, 15, -1
13, 77, 28, -1
12, 83, 29, -1
42, 30, 152, 1
23, 30, 157, 1
33, 42, 156, 1
31, 48, 151, 1
17, 99, 24, -1
16, 82, 18, -1
16, 84, 24, -1
42, 80, 127, 1
36, 51, 151, 1
23, 73, 28, -1
13, 66, 39, -1
14, 76, 19, -1
27, 40, 156, 1
25, 39, 145, 1
11, 81, 23, -1
12, 95, 25, -1
20, 72, 32, -1
49, 43, 156, 1
28, 38, 140, 1
11, 78, 23, -1
15, 82, 23, -1
14, 78, 26, -1
19, 65, 28, -1
30, 36, 160, 1
19, 72, 23, -1
8, 92, 21, -1
12, 66, 43, -1
24, 51, 150, 1
29, 27, 126, 1
17, 81, 17, -1
22, 54, 129, 1
17, 72, 21, -1
20, 84, 26, -1
18, 70, 22, -1
33, 33, 155, 1
28, 36, 145, 1
12, 74, 17, -1
17, 45, 119, 1
33, 65, 118, 1
13, 77, 26, -1
5, 94, 26, -1
11, 102, 19, -1
25, 54, 145, 1
20, 45, 139, 1
24, 66, 113, 1
12, 105, 11, -1
30, 62, 169, 1
13, 90, 21, -1
23, 59, 127, 1
16, 72, 23, -1
8, 83, 21, -1
32, 37, 133, 1
27, 43, 150, 1
12, 87, 17, -1
8, 74, 27, -1
12, 95, 11, -1
33, 43, 145, 1
17, 92, 15, -1
14, 93, 12, -1
25, 46, 138, 1
25, 35, 137, 1
11, 103, 20, -1
20, 87, 19, -1
32, 29, 164, 1
36, 43, 129, 1
32, 34, 176, 1
14, 81, 18, -1
32, 38, 147, 1
15, 81, 18, -1
17, 90, 19, -1
25, 44, 139, 1
35, 39, 160, 1
24, 49, 122, 1
11, 86, 11, -1
15, 82, 23, -1
12, 82, 21, -1
15, 78, 20, -1
30, 39, 147, 1
11, 100, 14, -1
33, 28, 145, 1
16, 79, 14, -1
15, 98, 17, -1
23, 52, 154, 1
25, 35, 119, 1
19, 90, 24, -1
17, 48, 136, 1
20, 47, 24, -1
27, 46, 139, 1
17, 67, 22, -1
20, 49, 143, 1
14, 113, 15, -1
29, 53, 179, 1
25, 37, 160, 1
15, 75, 26, -1
36, 48, 119, 1
35, 62, 125, 1
33, 41, 152, 1
19, 67, 14, -1
17, 56, 30, -1
22, 67, 32, -1
19, 72, 23, -1
32, 46, 138, 1
10, 81, 14, -1
28, 51, 135, 1
23, 76, 25, -1
23, 46, 143, 1
27, 46, 162, 1
16, 76, 22, -1
16, 66, 30, -1
13, 95, 23, -1
24, 37, 146, 1
24, 65, 146, 1
25, 71, 28, -1
18, 86, 17, -1
14, 79, 21, -1
21, 76, 127, 1
27, 54, 167, 1
36, 39, 178, 1
15, 85, 14, -1
15, 80, 23, -1
17, 71, 128, 1
17, 87, 29, -1
15, 110, 14, -1
32, 32, 153, 1
18, 94, 24, -1
21, 46, 136, 1
22, 67, 27, -1
30, 25, 168, 1
28, 39, 156, 1
32, 47, 166, 1
30, 32, 170, 1
21, 88, 18, -1
17, 76, 32, -1
46, 33, 163, 1
22, 57, 21, -1
13, 103, 18, -1
16, 74, 21, -1
22, 56, 24, -1
23, 103, 21, -1
25, 52, 138, 1
20, 101, 19, -1
25, 80, 19, -1
24, 49, 144, 1
21, 54, 144, 1
11, 96, 14, -1
17, 65, 31, -1
44, 25, 163, 1
22, 77, 24, -1
16, 55, 129, 1
30, 30, 138, 1
24, 69, 109, 1
42, 27, 176, 1
18, 91, 20, -1
27, 53, 137, 1
29, 44, 136, 1
27, 54, 113, 1
18, 59, 25, -1
20, 48, 154, 1
20, 59, 135, 1
44, 40, 150, 1
22, 55, 24, -1
31, 31, 144, 1
39, 42, 148, 1
30, 26, 159, 1
12, 87, 17, -1
20, 42, 112, 1
12, 97, 24, -1
28, 62, 132, 1
29, 49, 155, 1
36, 66, 28, -1
25, 75, 30, -1
29, 42, 134, 1
16, 91, 16, -1
25, 61, 155, 1
29, 38, 152, 1
16, 82, 18, -1
31, 38, 136, 1
33, 56, 162, 1
8, 90, 8, -1
20, 86, 23, -1
25, 35, 141, 1
25, 44, 144, 1
22, 75, 17, -1
17, 91, 23, -1
28, 56, 166, 1
44, 48, 145, 1
17, 77, 25, -1
18, 65, 38, -1
27, 30, 163, 1
22, 42, 143, 1
24, 48, 132, 1
26, 63, 144, 1
18, 89, 23, -1
21, 61, 25, -1
25, 47, 134, 1
15, 82, 18, -1
23, 57, 115, 1
25, 32, 144, 1
18, 61, 29, -1
15, 109, 21, -1
17, 72, 20, -1
12, 77, 13, -1
9, 111, 27, -1
11, 88, 27, -1
43, 30, 156, 1
19, 109, 19, -1
16, 87, 26, -1
16, 90, 12, -1
16, 98, 22, -1
44, 43, 136, 1
11, 101, 13, -1
29, 36, 160, 1
30, 32, 166, 1
23, 72, 26, -1
43, 29, 165, 1
9, 108, 11, -1
23, 53, 162, 1
16, 62, 32, -1
34, 37, 144, 1
30, 34, 165, 1
45, 28, 164, 1
16, 77, 17, -1
13, 69, 26, -1
36, 45, 109, 1
7, 94, 19, -1
24, 41, 152, 1
29, 60, 126, 1
21, 64, 23, -1
32, 32, 172, 1
18, 47, 158, 1
10, 92, 19, -1
12, 63, 18, -1
14, 75, 22, -1
24, 39, 141, 1
19, 82, 24, -1
28, 36, 154, 1
33, 28, 168, 1
15, 54, 126, 1
19, 53, 18, -1
15, 80, 16, -1
6, 85, 21, -1
17, 102, 17, -1
16, 66, 23, -1
13, 82, 19, -1
34, 35, 167, 1
17, 40, 144, 1
8, 76, 22, -1
29, 44, 164, 1
42, 29, 163, 1
18, 70, 21, -1
29, 60, 144, 1
26, 26, 156, 1
25, 47, 158, 1
18, 57, 27, -1
19, 46, 130, 1
14, 70, 31, -1
7, 80, 23, -1
27, 49, 129, 1
10, 106, 11, -1
14, 59, 24, -1
39, 48, 148, 1
29, 47, 154, 1
40, 29, 153, 1
20, 66, 27, -1
21, 73, 24, -1
18, 47, 26, -1
18, 84, 15, -1
23, 105, 14, -1
46, 39, 186, 1
30, 45, 117, 1
23, 76, 24, -1
11, 81, 29, -1
21, 79, 22, -1
29, 47, 129, 1
15, 109, 18, -1
12, 99, 24, -1
26, 41, 156, 1
10, 96, 19, -1
15, 53, 30, -1
17, 75, 21, -1
17, 74, 31, -1
44, 27, 158, 1
19, 83, 22, -1
28, 67, 24, -1
14, 88, 21, -1
21, 104, 16, -1
33, 43, 161, 1
24, 75, 32, -1
31, 60, 143, 1
18, 51, 123, 1
40, 35, 139, 1
13, 82, 17, -1
15, 81, 22, -1
11, 76, 16, -1
28, 35, 147, 1
19, 60, 23, -1
25, 29, 147, 1
17, 90, 25, -1
29, 35, 145, 1
41, 22, 148, 1
9, 95, 11, -1
23, 30, 143, 1
133, 0, 53, -1
22, 30, 123, 1
16, 89, 19, -1
18, 93, 25, -1
18, 49, 30, -1
17, 81, 23, -1
37, 38, 156, 1
20, 52, 139, 1
36, 62, 140, 1
19, 71, 16, -1
14, 98, 25, -1
14, 81, 20, -1
34, 57, 168, 1
11, 90, 20, -1
24, 41, 129, 1
12, 75, 27, -1
16, 78, 23, -1
16, 75, 23, -1
13, 83, 20, -1
8, 81, 20, -1
29, 57, 161, 1
26, 55, 129, 1
25, 41, 142, 1
18, 47, 139, 1
22, 52, 135, 1
19, 115, 14, -1
29, 34, 148, 1
24, 61, 161, 1
30, 46, 138, 1
30, 38, 179, 1
30, 41, 155, 1
23, 91, 21, -1
31, 39, 154, 1
37, 29, 146, 1
13, 90, 21, -1
21, 85, 18, -1
16, 51, 148, 1
15, 67, 14, -1
18, 71, 25, -1
20, 64, 25, -1
23, 72, 25, -1
23, 34, 123, 1
16, 75, 23, -1
25, 32, 190, 1
32, 35, 170, 1
18, 79, 30, -1
14, 80, 27, -1
12, 101, 10, -1
31, 60, 147, 1
11, 104, 23, -1
23, 75, 21, -1
19, 89, 19, -1
34, 28, 180, 1
8, 107, 17, -1
15, 91, 24, -1
17, 67, 16, -1
11, 47, 136, 1
33, 48, 131, 1
51, 19, 169, 1
35, 28, 158, 1
24, 42, 160, 1
25, 47, 135, 1
24, 60, 22, -1
28, 41, 141, 1
22, 38, 141, 1
15, 92, 15, -1
20, 57, 123, 1
16, 65, 141, 1
19, 75, 27, -1
21, 87, 18, -1
19, 77, 26, -1
14, 76, 22, -1
39, 16, 187, 1
22, 72, 32, -1
38, 43, 141, 1
18, 47, 32, -1
29, 39, 148, 1
18, 92, 25, -1
40, 37, 174, 1
15, 67, 19, -1
13, 83, 19, -1
16, 68, 21, -1
22, 64, 28, -1
19, 92, 16, -1
52, 33, 185, 1
30, 51, 125, 1
9, 72, 33, -1
42, 57, 134, 1
16, 89, 17, -1
28, 52, 123, 1
16, 74, 22, -1
13, 103, 15, -1
17, 85, 29, -1
33, 51, 159, 1
30, 42, 134, 1
36, 35, 138, 1
31, 51, 144, 1
23, 24, 152, 1
16, 111, 20, -1
31, 29, 156, 1
27, 66, 177, 1
22, 80, 27, -1
12, 71, 24, -1
23, 86, 27, -1
36, 34, 135, -1
22, 43, 151, 1
28, 42, 130, 1
18, 75, 114, 1
15, 90, 21, -1
29, 78, 30, -1
15, 117, 19, -1
36, 34, 153, 1
26, 69, 28, -1
18, 89, 14, -1
18, 99, 26, -1
