resource, consumer1, toxin, environment
16, 96, 18, 1
30, 73, 33, 1
47, 0, 110, -1
30, 70, 28, 1
64, 0, 127, -1
55, 0, 125, -1
27, 97, 19, 1
45, 0, 110, -1
17, 110, 22, 1
20, 98, 20, 1
50, 0, 132, -1
41, 0, 144, -1
31, 80, 37, 1
52, 0, 128, -1
41, 0, 113, -1
55, 0, 137, -1
20, 70, 40, 1
30, 62, 40, 1
41, 0, 144, -1
51, 0, 125, -1
30, 107, 24, 1
44, 0, 123, -1
49, 0, 125, -1
198, 0, 153, 1
39, 79, 38, 1
36, 65, 38, 1
48, 0, 120, -1
29, 94, 25, 1
51, 0, 114, -1
37, 80, 30, 1
30, 84, 37, 1
50, 0, 146, -1
32, 72, 41, 1
53, 0, 133, -1
48, 0, 106, -1
188, 0, 133, 1
49, 0, 123, -1
42, 43, 37, 1
14, 18, 66, -1
44, 0, 130, -1
54, 0, 120, -1
50, 0, 149, -1
134, 0, 137, 1
48, 0, 112, -1
53, 0, 118, -1
21, 74, 17, 1
70, 0, 124, -1
56, 0, 146, -1
49, 0, 110, -1
159, 0, 113, 1
37, 74, 44, 1
37, 0, 116, -1
61, 0, 138, -1
37, 61, 52, 1
50, 0, 127, -1
59, 0, 111, -1
44, 0, 117, -1
51, 0, 131, -1
22, 72, 24, 1
27, 86, 28, 1
49, 0, 130, -1
127, 0, 127, 1
217, 0, 122, 1
35, 56, 32, 1
45, 0, 102, -1
27, 103, 24, 1
54, 0, 153, -1
187, 0, 123, 1
46, 71, 52, 1
53, 0, 125, -1
54, 0, 125, -1
33, 99, 32, 1
22, 121, 26, 1
52, 0, 125, -1
53, 0, 120, -1
41, 74, 38, 1
202, 0, 114, 1
189, 0, 117, 1
14, 133, 18, 1
50, 0, 139, -1
25, 76, 33, 1
19, 113, 18, 1
202, 0, 134, 1
44, 1, 124, -1
45, 59, 46, 1
54, 0, 111, -1
50, 0, 127, -1
37, 85, 28, 1
63, 0, 105, -1
33, 63, 43, 1
33, 80, 32, 1
48, 0, 112, -1
60, 0, 110, -1
48, 0, 136, -1
29, 96, 25, 1
54, 0, 104, -1
26, 83, 35, 1
21, 71, 29, 1
23, 60, 33, 1
44, 70, 47, 1
42, 0, 126, -1
44, 64, 46, 1
36, 0, 127, -1
27, 76, 33, 1
29, 63, 49, 1
198, 0, 122, 1
36, 65, 23, 1
56, 0, 112, -1
36, 74, 42, 1
34, 75, 28, 1
23, 82, 24, 1
33, 59, 36, 1
225, 0, 128, 1
43, 0, 125, -1
37, 84, 36, 1
24, 56, 40, 1
50, 0, 113, -1
38, 93, 34, 1
49, 0, 127, -1
39, 52, 26, 1
27, 80, 22, 1
59, 0, 99, -1
40, 0, 124, -1
32, 61, 52, 1
57, 0, 151, -1
52, 0, 129, -1
59, 0, 120, -1
39, 0, 132, -1
60, 0, 128, -1
46, 0, 116, -1
47, 0, 113, -1
33, 76, 43, 1
29, 59, 40, 1
202, 0, 121, 1
203, 0, 136, 1
55, 0, 112, -1
38, 0, 132, -1
34, 90, 31, 1
55, 0, 135, -1
45, 0, 140, -1
22, 77, 32, 1
22, 77, 32, 1
46, 50, 37, 1
41, 81, 36, 1
51, 60, 32, 1
42, 0, 138, -1
193, 0, 118, 1
42, 0, 131, -1
26, 90, 33, 1
64, 0, 123, -1
21, 84, 27, 1
35, 69, 32, 1
50, 0, 131, -1
58, 0, 136, -1
55, 0, 105, -1
59, 0, 130, -1
18, 75, 43, 1
26, 82, 27, 1
69, 0, 133, -1
22, 90, 28, 1
71, 0, 118, 1
180, 0, 124, 1
40, 0, 138, -1
48, 0, 109, -1
31, 72, 30, 1
53, 0, 143, -1
59, 0, 119, -1
56, 0, 126, -1
65, 0, 121, -1
17, 100, 25, 1
49, 0, 135, -1
61, 42, 75, 1
25, 99, 31, 1
39, 0, 126, -1
200, 0, 139, 1
28, 108, 24, 1
37, 97, 27, 1
