trial, S1, S2, R, T, xi
337,0,0,55,109,-1 
338,0,0,51,110,-1 
339,0,0,41,123,-1 
340,0,0,63,132,-1 
341,0,0,69,138,-1 
342,50,0,35,27,1 
343,50,0,66,27,1 
344,0,0,212,111,1 
345,20,0,18,42,-1 
346,0,57,31,31,1 
347,0,0,40,133,-1 
348,0,0,53,131,-1 
349,0,0,64,124,-1 
350,0,0,59,100,-1 
351,0,0,178,125,1 
352,0,60,9,20,1 
353,0,0,54,129,-1 
354,56,0,46,31,1 
355,0,0,47,118,-1 
356,0,0,32,94,-1 
357,0,0,50,120,-1 
358,34,0,50,43,1 
359,0,0,45,113,-1 
360,0,0,44,99,-1 
361,70,0,12,20,-1 
362,62,0,53,25,1 
363,70,0,45,19,1 
364,0,0,212,137,1 
365,0,78,29,16,1 
366,0,0,54,119,-1 
367,19,78,24,11,1 
368,0,49,33,35,1 
369,58,0,51,45,1 
370,0,0,43,111,-1 
371,0,88,28,20,1 
372,0,0,57,152,-1 
373,28,30,39,21,1 
374,0,0,51,145,-1 
375,0,56,25,29,1 
376,0,0,49,146,-1 
377,17,54,49,33,1 
378,0,0,57,129,-1 
379,0,95,26,18,1 
380,0,0,42,126,-1 
381,0,0,48,127,-1 
382,0,0,45,139,-1 
383,0,0,34,113,-1 
384,0,0,47,136,-1 
385,0,0,48,118,-1 
386,0,47,56,39,1 
387,52,0,27,31,1 
388,0,0,51,108,-1 
389,0,80,28,24,1 
390,0,0,56,100,-1 
391,81,11,25,7,1 
392,0,0,51,121,-1 
393,0,0,41,123,-1 
394,0,0,45,120,-1 
395,0,69,33,25,1 
396,0,0,200,121,1 
397,0,0,43,113,-1 
398,0,0,200,111,1 
399,0,0,234,138,1 
400,0,0,253,122,1 
401,0,44,66,41,1 
402,0,88,21,15,1 
403,0,27,53,43,1 
404,0,0,46,119,-1 
405,26,0,68,36,1 
406,0,0,50,127,-1 
407,0,25,75,57,1 
408,7,39,41,29,1 
409,0,68,40,33,1 
410,0,0,52,121,-1 
411,106,0,23,9,1 
412,0,0,42,121,-1 
413,0,0,59,141,-1 
414,0,0,59,130,-1 
415,0,0,193,119,1 
416,0,0,55,131,-1 
417,0,72,20,18,1 
418,44,22,20,22,1 
419,0,0,45,129,-1 
420,0,0,38,105,-1 
421,0,0,204,115,1 
422,0,0,35,137,-1 
423,0,0,52,125,-1 
424,0,0,59,116,-1 
425,66,0,44,29,1 
426,0,90,27,21,1 
427,0,0,195,112,1 
428,0,0,193,124,1 
429,0,0,53,122,-1 
430,0,0,57,120,-1 
431,0,0,58,119,-1 
432,0,0,50,136,-1 
433,0,0,44,128,-1 
434,80,0,33,18,1 
435,48,0,46,39,1 
436,0,89,24,17,1 
437,0,0,49,118,-1 
438,87,0,23,9,1 
439,0,0,199,133,1 
440,0,0,215,135,1 
441,0,0,45,132,-1 
442,45,0,46,41,1 
443,0,75,32,21,1 
444,0,0,46,130,-1 
445,0,0,52,117,-1 
446,0,0,47,124,-1 
447,0,0,54,101,-1 
448,63,0,28,15,1 
449,0,0,227,140,1 
450,0,0,64,139,-1 
451,0,0,48,115,-1 
452,0,103,36,11,1 
453,0,68,39,26,1 
454,0,35,59,29,1 
455,0,0,51,122,-1 
456,0,50,30,24,1 
457,0,0,43,114,-1 
458,0,0,236,134,1 
459,0,0,50,123,-1 
460,0,95,27,11,1 
461,0,0,52,129,-1 
462,0,0,44,129,-1 
463,0,0,208,131,1 
464,0,0,44,122,-1 
465,0,0,53,121,-1 
466,0,0,44,122,-1 
467,0,43,42,26,1 
468,78,0,24,26,1 
469,0,0,47,128,-1 
470,0,0,191,123,1 
471,0,58,40,31,1 
472,0,0,54,126,-1 
473,0,104,15,18,1 
474,30,0,44,33,1 
475,0,0,47,119,-1 
476,0,64,29,23,1 
477,0,0,189,95,1 
478,58,0,35,24,1 
479,0,0,52,117,-1 
480,82,0,31,26,1 
481,0,0,56,129,-1 
482,31,12,51,45,1 
483,0,85,23,29,1 
484,0,0,49,129,-1 
485,39,13,37,38,1 
486,0,0,206,120,1 
487,0,60,28,30,1 
488,0,0,44,119,-1 
489,0,0,51,129,-1 
490,0,92,31,20,1 
491,0,0,53,140,-1 
492,0,0,49,128,-1 
493,0,0,47,117,-1 
494,0,0,41,130,-1 
495,0,0,60,131,-1 
496,0,0,52,132,-1 
497,0,0,63,120,-1 
498,0,0,46,117,-1 
499,0,0,234,115,1 
500,0,53,38,28,1 
501,0,0,39,127,-1 
502,48,0,45,34,1 
