time, resource, consumer1, consumer2, toxin, environment
2.556, 110, 9, 23, 114, 1
2.557, 111, 9, 23, 114, 1
2.560, 110, 9, 23, 114, 1
2.598, 110, 9, 23, 115, 1
2.623, 110, 9, 24, 115, 1
2.650, 109, 9, 24, 115, 1
2.665, 109, 9, 24, 114, 1
2.669, 109, 9, 25, 114, 1
2.674, 109, 9, 25, 113, 1
2.679, 109, 9, 25, 114, 1
2.696, 110, 9, 25, 114, 1
2.710, 109, 9, 25, 114, 1
2.710, 109, 9, 25, 113, 1
2.713, 109, 9, 25, 112, 1
2.717, 109, 10, 25, 112, 1
2.725, 109, 10, 25, 112, -1
2.758, 108, 10, 25, 112, -1
2.771, 108, 11, 25, 112, -1
2.776, 108, 11, 25, 111, -1
2.794, 108, 12, 25, 111, -1
2.800, 108, 12, 25, 111, 1
2.815, 107, 12, 25, 111, 1
2.818, 107, 12, 25, 111, -1
2.833, 106, 12, 25, 111, -1
2.860, 105, 12, 25, 111, -1
2.863, 105, 12, 24, 111, -1
2.868, 104, 12, 24, 111, -1
2.874, 103, 12, 24, 111, -1
2.889, 103, 12, 25, 111, -1
2.892, 103, 12, 25, 111, 1
2.895, 103, 12, 26, 111, 1
2.941, 103, 12, 25, 111, 1
2.943, 103, 12, 25, 110, 1
2.944, 103, 12, 25, 109, 1
2.951, 102, 12, 25, 109, 1
2.966, 103, 12, 25, 109, 1
2.981, 102, 12, 25, 109, 1
2.982, 101, 12, 25, 109, 1
2.984, 101, 12, 24, 109, 1
2.986, 101, 12, 24, 109, -1
2.996, 101, 12, 24, 108, -1
2.997, 100, 12, 24, 108, -1
3.006, 100, 12, 24, 109, -1
3.016, 100, 12, 24, 108, -1
3.025, 100, 12, 24, 107, -1
3.029, 100, 12, 24, 107, 1
3.036, 100, 12, 23, 107, 1
3.040, 101, 12, 23, 107, 1
3.042, 100, 12, 23, 107, 1
3.052, 100, 12, 23, 106, 1
3.055, 100, 12, 23, 105, 1
3.058, 101, 12, 23, 105, 1
3.072, 101, 12, 23, 106, 1
3.075, 102, 12, 23, 106, 1
3.079, 102, 12, 24, 106, 1
3.088, 103, 12, 24, 106, 1
3.089, 103, 13, 24, 106, 1
3.098, 103, 14, 24, 106, 1
3.109, 102, 14, 24, 106, 1
3.128, 102, 14, 24, 106, -1
3.145, 101, 14, 24, 106, -1
3.192, 101, 15, 24, 106, -1
3.197, 100, 15, 24, 106, -1
3.211, 100, 15, 24, 106, 1
3.215, 100, 16, 24, 106, 1
3.234, 100, 16, 24, 105, 1
3.251, 100, 16, 24, 104, 1
3.264, 100, 16, 24, 105, 1
3.267, 100, 16, 25, 105, 1
3.272, 101, 16, 25, 105, 1
3.277, 102, 16, 25, 105, 1
3.281, 101, 16, 25, 105, 1
3.288, 101, 16, 24, 105, 1
3.305, 102, 16, 24, 105, 1
3.307, 103, 16, 24, 105, 1
3.312, 104, 16, 24, 105, 1
3.325, 104, 16, 24, 106, 1
3.327, 104, 16, 23, 106, 1
3.331, 105, 16, 23, 106, 1
3.333, 105, 16, 23, 107, 1
3.339, 105, 16, 23, 107, -1
3.347, 106, 16, 23, 107, -1
3.350, 107, 16, 23, 107, -1
3.355, 106, 16, 23, 107, -1
3.362, 105, 16, 23, 107, -1
3.388, 104, 16, 23, 107, -1
3.407, 104, 16, 23, 106, -1
3.410, 103, 16, 23, 106, -1
3.432, 103, 15, 23, 106, -1
3.433, 102, 15, 23, 106, -1
3.438, 101, 15, 23, 106, -1
3.447, 101, 15, 23, 105, -1
3.457, 101, 15, 23, 105, 1
3.458, 100, 15, 23, 105, 1
3.520, 99, 15, 23, 105, 1
3.549, 99, 15, 23, 104, 1
3.557, 100, 15, 23, 104, 1
3.565, 99, 15, 23, 104, 1
3.576, 99, 15, 23, 103, 1
3.578, 99, 15, 23, 102, 1
3.591, 99, 15, 23, 101, 1
3.595, 100, 15, 23, 101, 1
3.600, 100, 15, 24, 101, 1
3.601, 100, 15, 24, 102, 1
3.605, 100, 15, 24, 101, 1
3.607, 100, 14, 24, 101, 1
3.611, 100, 14, 25, 101, 1
3.630, 100, 14, 26, 101, 1
