time, resource, consumer1, consumer2, toxin, environment
2.702, 97, 19, 19, 119, -1
2.723, 97, 19, 19, 118, -1
2.750, 96, 19, 19, 118, -1
2.756, 96, 19, 20, 118, -1
2.760, 96, 19, 20, 117, -1
2.761, 96, 19, 21, 117, -1
2.768, 96, 19, 22, 117, -1
2.779, 96, 19, 22, 116, -1
2.787, 96, 19, 23, 116, -1
2.791, 95, 19, 23, 116, -1
2.823, 95, 20, 23, 116, -1
2.825, 95, 20, 23, 117, -1
2.825, 95, 20, 23, 116, -1
2.831, 94, 20, 23, 116, -1
2.834, 94, 20, 24, 116, -1
2.854, 94, 20, 25, 116, -1
2.856, 94, 21, 25, 116, -1
2.868, 94, 21, 25, 115, -1
2.887, 94, 20, 25, 115, -1
2.901, 93, 20, 25, 115, -1
2.904, 92, 20, 25, 115, -1
2.909, 92, 20, 25, 114, -1
2.916, 92, 20, 24, 114, -1
2.923, 92, 20, 24, 115, -1
2.939, 92, 20, 25, 115, -1
2.958, 91, 20, 25, 115, -1
2.992, 91, 19, 25, 115, -1
3.004, 91, 19, 25, 116, -1
3.007, 91, 18, 25, 116, -1
3.033, 91, 18, 25, 117, -1
3.041, 90, 18, 25, 117, -1
3.051, 90, 18, 26, 117, -1
3.056, 89, 18, 26, 117, -1
3.078, 89, 18, 25, 117, -1
3.083, 89, 18, 25, 118, -1
3.083, 88, 18, 25, 118, -1
3.093, 87, 18, 25, 118, -1
3.109, 87, 19, 25, 118, -1
3.153, 87, 19, 25, 117, -1
3.159, 87, 19, 25, 118, -1
3.167, 87, 20, 25, 118, -1
3.206, 87, 20, 25, 117, -1
3.226, 87, 20, 25, 116, -1
3.232, 87, 20, 24, 116, -1
3.237, 87, 20, 24, 115, -1
3.239, 87, 20, 25, 115, -1
3.241, 87, 19, 25, 115, -1
3.278, 86, 19, 25, 115, -1
3.283, 86, 19, 25, 116, -1
3.287, 86, 19, 25, 117, -1
3.288, 87, 19, 25, 117, -1
3.290, 87, 19, 25, 116, -1
3.292, 86, 19, 25, 116, -1
3.304, 86, 19, 25, 115, -1
3.313, 86, 19, 24, 115, -1
3.313, 86, 20, 24, 115, -1
3.314, 86, 19, 24, 115, -1
3.323, 86, 19, 24, 114, -1
3.338, 86, 19, 24, 113, -1
3.363, 86, 19, 24, 112, -1
3.370, 85, 19, 24, 112, -1
3.379, 86, 19, 24, 112, -1
3.382, 86, 19, 24, 113, -1
3.400, 86, 19, 23, 113, -1
3.418, 85, 19, 23, 113, -1
3.430, 86, 19, 23, 113, -1
3.433, 86, 19, 23, 114, -1
3.448, 86, 19, 23, 115, -1
3.474, 86, 19, 23, 114, -1
3.514, 86, 19, 23, 115, -1
3.557, 86, 19, 23, 116, -1
3.561, 86, 20, 23, 116, -1
3.575, 87, 20, 23, 116, -1
3.576, 86, 20, 23, 116, -1
3.581, 86, 21, 23, 116, -1
3.589, 86, 21, 23, 117, -1
3.593, 85, 21, 23, 117, -1
3.604, 85, 21, 23, 116, -1
3.610, 85, 22, 23, 116, -1
3.616, 84, 22, 23, 116, -1
3.618, 83, 22, 23, 116, -1
3.619, 83, 22, 23, 117, -1
3.621, 82, 22, 23, 117, -1
3.627, 83, 22, 23, 117, -1
3.630, 84, 22, 23, 117, -1
3.634, 83, 22, 23, 117, -1
3.639, 83, 21, 23, 117, -1
3.645, 82, 21, 23, 117, -1
3.657, 82, 22, 23, 117, -1
3.660, 81, 22, 23, 117, -1
3.666, 80, 22, 23, 117, -1
3.676, 80, 23, 23, 117, -1
3.683, 79, 23, 23, 117, -1
3.694, 79, 23, 24, 117, -1
3.718, 78, 23, 24, 117, -1
3.727, 78, 23, 24, 116, -1
3.731, 77, 23, 24, 116, -1
3.754, 77, 23, 24, 115, -1
3.762, 77, 23, 24, 114, -1
3.772, 77, 23, 24, 115, -1
3.775, 77, 23, 25, 115, -1
3.783, 77, 23, 25, 116, -1
3.794, 76, 23, 25, 116, -1
3.834, 75, 23, 25, 116, -1
3.839, 75, 23, 25, 115, -1
3.851, 74, 23, 25, 115, -1
3.870, 73, 23, 25, 115, -1
3.872, 72, 23, 25, 115, -1
3.892, 71, 23, 25, 115, -1
3.895, 71, 23, 25, 114, -1
3.897, 71, 23, 24, 114, -1
3.898, 71, 23, 23, 114, -1
3.900, 70, 23, 23, 114, -1
3.901, 69, 23, 23, 114, -1
3.907, 69, 23, 23, 113, -1
3.912, 69, 23, 23, 112, -1
3.913, 69, 23, 23, 111, -1
3.931, 68, 23, 23, 111, -1
3.950, 68, 23, 23, 110, -1
3.953, 68, 23, 24, 110, -1
3.957, 68, 23, 24, 111, -1
3.978, 67, 23, 24, 111, -1
3.984, 67, 23, 23, 111, -1
4.007, 66, 23, 23, 111, -1
4.011, 66, 23, 23, 110, -1
4.013, 67, 23, 23, 110, -1
4.013, 67, 23, 23, 109, -1
4.025, 67, 24, 23, 109, -1
4.055, 67, 23, 23, 109, -1
4.069, 67, 22, 23, 109, -1
4.080, 66, 22, 23, 109, -1
4.081, 66, 22, 23, 108, -1
4.093, 65, 22, 23, 108, -1
4.114, 65, 22, 24, 108, -1
4.129, 65, 23, 24, 108, -1
4.149, 65, 23, 25, 108, -1
4.151, 64, 23, 25, 108, -1
4.177, 64, 24, 25, 108, -1
4.199, 65, 24, 25, 108, -1
4.208, 64, 24, 25, 108, -1
4.219, 63, 24, 25, 108, -1
4.223, 62, 24, 25, 108, -1
4.227, 62, 24, 26, 108, -1
4.234, 61, 24, 26, 108, -1
4.283, 61, 23, 26, 108, -1
4.296, 61, 23, 26, 107, -1
4.311, 61, 23, 27, 107, -1
4.312, 61, 22, 27, 107, -1
4.345, 61, 22, 27, 108, -1
4.351, 60, 22, 27, 108, -1
4.362, 60, 22, 28, 108, -1
4.393, 59, 22, 28, 108, -1
4.440, 59, 23, 28, 108, -1
4.454, 60, 23, 28, 108, -1
4.457, 60, 23, 28, 107, -1
4.466, 60, 24, 28, 107, -1
4.486, 61, 24, 28, 107, -1
4.519, 61, 24, 29, 107, -1
4.519, 62, 24, 29, 107, -1
4.531, 62, 25, 29, 107, -1
4.544, 62, 25, 28, 107, -1
4.559, 62, 25, 28, 106, -1
4.563, 62, 25, 28, 105, -1
4.571, 62, 25, 28, 104, -1
4.595, 62, 25, 27, 104, -1
4.615, 61, 25, 27, 104, -1
4.621, 61, 25, 27, 105, -1
4.652, 61, 26, 27, 105, -1
4.665, 60, 26, 27, 105, -1
4.685, 59, 26, 27, 105, -1
4.689, 59, 26, 27, 104, -1
4.698, 59, 27, 27, 104, -1
4.702, 59, 27, 27, 105, -1
4.705, 58, 27, 27, 105, -1
4.708, 58, 27, 27, 104, -1
4.711, 59, 27, 27, 104, -1
4.731, 59, 27, 28, 104, -1
4.745, 58, 27, 28, 104, -1
4.759, 58, 26, 28, 104, -1
4.803, 58, 26, 28, 103, -1
4.809, 58, 26, 27, 103, -1
4.815, 58, 27, 27, 103, -1
4.818, 58, 27, 28, 103, -1
4.827, 58, 27, 28, 104, -1
4.836, 57, 27, 28, 104, -1
4.836, 58, 27, 28, 104, -1
4.851, 57, 27, 28, 104, -1
4.857, 57, 28, 28, 104, -1
4.864, 57, 28, 28, 105, -1
4.866, 56, 28, 28, 105, -1
4.869, 56, 29, 28, 105, -1
4.874, 56, 28, 28, 105, -1
4.875, 56, 28, 28, 104, -1
4.877, 56, 29, 28, 104, -1
4.878, 56, 29, 28, 105, -1
4.882, 55, 29, 28, 105, -1
4.885, 55, 29, 28, 106, -1
4.908, 55, 29, 28, 105, -1
4.920, 56, 29, 28, 105, -1
4.941, 55, 29, 28, 105, -1
4.983, 55, 29, 28, 104, -1
4.996, 55, 29, 28, 103, -1
5.000, 54, 29, 28, 103, -1
5.006, 54, 29, 29, 103, -1
5.012, 53, 29, 29, 103, -1
5.035, 53, 29, 30, 103, -1
5.037, 53, 29, 30, 104, -1
5.045, 53, 29, 29, 104, -1
5.047, 53, 28, 29, 104, -1
5.068, 52, 28, 29, 104, -1
5.074, 52, 28, 29, 103, -1
5.075, 52, 28, 29, 102, -1
5.075, 51, 28, 29, 102, -1
5.084, 51, 28, 30, 102, -1
5.085, 52, 28, 30, 102, -1
5.110, 52, 28, 30, 101, -1
5.114, 52, 28, 30, 102, -1
5.115, 51, 28, 30, 102, -1
5.116, 50, 28, 30, 102, -1
5.134, 51, 28, 30, 102, -1
5.165, 50, 28, 30, 102, -1
5.169, 50, 28, 30, 101, -1
5.170, 50, 28, 30, 100, -1
5.200, 49, 28, 30, 100, -1
5.205, 48, 28, 30, 100, -1
5.211, 47, 28, 30, 100, -1
5.213, 47, 28, 30, 99, -1
5.237, 46, 28, 30, 99, -1
5.240, 46, 28, 30, 98, -1
5.256, 45, 28, 30, 98, -1
5.276, 45, 28, 31, 98, -1
5.286, 45, 29, 31, 98, -1
5.299, 45, 30, 31, 98, -1
5.301, 45, 30, 32, 98, -1
5.310, 46, 30, 32, 98, -1
5.326, 46, 30, 33, 98, -1
5.329, 46, 31, 33, 98, -1
5.335, 47, 31, 33, 98, -1
5.335, 47, 31, 33, 99, -1
5.378, 47, 31, 34, 99, -1
5.395, 47, 31, 34, 98, -1
5.404, 47, 31, 34, 97, -1
5.406, 47, 32, 34, 97, -1
5.406, 47, 31, 34, 97, -1
5.408, 46, 31, 34, 97, -1
5.408, 46, 31, 34, 96, -1
5.412, 46, 31, 34, 95, -1
5.426, 46, 31, 34, 94, -1
5.427, 45, 31, 34, 94, -1
5.446, 45, 32, 34, 94, -1
5.456, 45, 32, 34, 93, -1
5.461, 45, 32, 34, 92, -1
5.463, 44, 32, 34, 92, -1
5.471, 44, 32, 34, 91, -1
5.488, 45, 32, 34, 91, -1
5.491, 45, 31, 34, 91, -1
5.514, 45, 31, 34, 92, -1
5.528, 45, 31, 35, 92, -1
5.567, 45, 31, 35, 91, -1
5.575, 45, 31, 35, 90, -1
5.583, 44, 31, 35, 90, -1
5.588, 43, 31, 35, 90, -1
5.606, 43, 32, 35, 90, -1
5.617, 43, 32, 35, 91, -1
5.621, 43, 32, 35, 90, -1
5.621, 42, 32, 35, 90, -1
5.634, 42, 32, 35, 89, -1
5.639, 42, 32, 35, 88, -1
5.643, 41, 32, 35, 88, -1
5.647, 41, 32, 35, 87, -1
5.666, 41, 31, 35, 87, -1
5.702, 40, 31, 35, 87, -1
5.736, 39, 31, 35, 87, -1
5.739, 38, 31, 35, 87, -1
5.751, 37, 31, 35, 87, -1
5.761, 37, 31, 34, 87, -1
5.770, 37, 32, 34, 87, -1
5.774, 37, 33, 34, 87, -1
5.779, 37, 34, 34, 87, -1
5.789, 37, 33, 34, 87, -1
5.796, 37, 32, 34, 87, -1
5.813, 37, 32, 34, 88, -1
5.820, 37, 33, 34, 88, -1
5.820, 37, 33, 34, 87, -1
5.837, 36, 33, 34, 87, -1
5.840, 36, 34, 34, 87, -1
5.851, 37, 34, 34, 87, -1
5.860, 37, 34, 34, 86, -1
5.863, 37, 34, 35, 86, -1
5.882, 37, 34, 35, 87, -1
5.885, 37, 34, 35, 88, -1
5.891, 37, 33, 35, 88, -1
5.914, 37, 33, 35, 89, -1
5.916, 37, 33, 34, 89, -1
5.931, 37, 34, 34, 89, -1
5.949, 37, 34, 33, 89, -1
5.954, 37, 34, 33, 88, -1
5.959, 37, 34, 33, 87, -1
5.965, 37, 34, 33, 88, -1
5.979, 37, 33, 33, 88, -1
5.979, 37, 34, 33, 88, -1
6.006, 37, 35, 33, 88, -1
6.009, 36, 35, 33, 88, -1
6.045, 35, 35, 33, 88, -1
6.049, 35, 36, 33, 88, -1
6.057, 34, 36, 33, 88, -1
6.063, 34, 36, 33, 87, -1
6.071, 33, 36, 33, 87, -1
6.091, 33, 36, 33, 86, -1
6.111, 33, 36, 33, 87, -1
6.115, 33, 37, 33, 87, -1
6.135, 33, 37, 34, 87, -1
6.149, 33, 38, 34, 87, -1
6.159, 33, 38, 34, 88, -1
6.172, 33, 38, 34, 87, -1
6.179, 33, 38, 34, 86, -1
6.181, 33, 38, 34, 87, -1
6.188, 33, 39, 34, 87, -1
6.201, 33, 39, 33, 87, -1
6.203, 33, 39, 33, 86, -1
6.219, 33, 39, 32, 86, -1
6.224, 33, 38, 32, 86, -1
6.235, 33, 37, 32, 86, -1
6.237, 33, 37, 32, 85, -1
6.267, 33, 38, 32, 85, -1
6.267, 32, 38, 32, 85, -1
6.268, 32, 38, 32, 84, -1
6.271, 32, 37, 32, 84, -1
6.279, 31, 37, 32, 84, -1
6.285, 31, 37, 32, 85, -1
6.296, 30, 37, 32, 85, -1
6.297, 29, 37, 32, 85, -1
6.334, 28, 37, 32, 85, -1
6.338, 28, 37, 32, 84, -1
6.393, 28, 37, 32, 85, -1
6.396, 28, 37, 32, 86, -1
6.417, 27, 37, 32, 86, -1
6.423, 27, 37, 33, 86, -1
6.441, 27, 37, 33, 87, -1
6.442, 27, 37, 32, 87, -1
6.443, 26, 37, 32, 87, -1
6.444, 26, 37, 32, 88, -1
6.475, 26, 38, 32, 88, -1
6.479, 26, 38, 33, 88, -1
6.482, 26, 38, 33, 89, -1
6.488, 27, 38, 33, 89, -1
6.495, 28, 38, 33, 89, -1
6.541, 28, 39, 33, 89, -1
6.575, 28, 39, 34, 89, -1
6.577, 28, 40, 34, 89, -1
6.587, 29, 40, 34, 89, -1
6.601, 28, 40, 34, 89, -1
6.618, 28, 40, 34, 90, -1
6.623, 28, 41, 34, 90, -1
6.642, 28, 41, 33, 90, -1
