trial, S1, S2, R, T, xi
449,29,28,26,88,-1 
450,49,0,38,77,-1 
451,56,0,30,67,1 
452,0,73,19,68,1 
453,0,48,29,84,-1 
454,65,0,27,78,-1 
455,62,0,21,80,-1 
456,33,12,23,77,-1 
457,0,64,22,82,1 
458,54,0,24,96,1 
459,12,13,28,103,1 
460,45,0,21,82,1 
461,21,25,23,89,1 
462,0,39,29,90,1 
463,0,56,19,78,1 
464,11,47,17,71,-1 
465,0,62,24,63,-1 
466,45,21,21,83,1 
467,40,0,30,89,1 
468,41,0,27,86,-1 
469,0,68,10,68,-1 
470,0,50,25,66,1 
471,0,59,23,71,1 
472,37,24,18,62,1 
473,60,0,19,81,-1 
474,56,0,38,84,1 
475,19,31,27,87,-1 
476,0,64,9,78,1 
477,0,56,15,94,1 
478,0,53,28,94,-1 
479,58,0,26,83,-1 
480,0,57,30,95,-1 
481,22,47,27,62,-1 
482,0,66,29,48,-1 
483,0,74,10,78,1 
484,30,0,41,104,-1 
485,0,60,31,94,-1 
486,0,63,26,91,1 
487,47,0,21,67,1 
488,51,0,21,68,-1 
489,12,26,43,100,1 
490,44,26,8,53,-1 
491,0,47,21,85,-1 
492,18,21,21,74,1 
493,55,0,28,75,-1 
494,47,0,19,83,1 
495,47,20,19,56,1 
496,66,0,23,56,1 
497,0,56,23,81,1 
498,31,30,20,65,-1 
499,55,0,30,77,1 
500,41,11,24,83,1 
501,0,46,23,73,-1 
502,60,0,22,66,-1 
503,13,58,15,88,-1 
504,0,50,27,90,-1 
505,0,61,19,66,1 
506,13,17,26,80,-1 
507,0,38,25,98,-1 
508,40,0,26,71,-1 
509,6,52,28,50,-1 
510,43,18,27,69,-1 
511,0,58,33,92,1 
512,0,51,27,72,-1 
513,52,0,30,91,-1 
514,5,62,26,76,-1 
515,54,0,28,73,1 
516,18,24,16,70,1 
517,0,54,28,67,1 
518,0,46,17,78,1 
519,0,41,16,78,-1 
520,51,0,19,94,1 
521,0,63,19,67,-1 
522,14,45,24,64,-1 
523,0,60,22,65,1 
524,8,26,34,85,-1 
525,6,40,22,80,-1 
526,0,53,29,85,-1 
527,0,45,35,80,1 
528,0,76,31,70,-1 
529,57,0,16,67,-1 
530,10,40,23,76,-1 
531,6,29,25,91,-1 
532,74,0,24,86,-1 
533,73,0,17,71,1 
534,47,22,22,82,1 
535,0,71,28,84,1 
536,45,0,23,95,1 
537,46,0,23,92,1 
538,0,44,24,64,1 
539,0,41,15,89,-1 
540,0,53,31,82,1 
541,66,0,15,74,-1 
542,56,0,18,84,-1 
543,58,0,25,80,1 
544,61,0,35,77,-1 
545,47,0,19,73,-1 
546,48,0,23,72,1 
547,0,35,27,76,1 
548,0,48,20,79,1 
549,77,0,18,69,-1 
550,30,12,34,99,1 
551,0,53,26,74,-1 
552,9,46,29,71,1 
553,34,30,22,86,-1 
554,13,58,19,96,1 
555,0,56,34,65,-1 
556,70,0,23,81,1 
557,13,33,31,84,-1 
558,54,0,23,91,1 
559,0,41,22,89,-1 
560,47,0,17,72,-1 
561,7,40,23,79,1 
562,48,0,32,94,-1 
563,45,4,19,73,1 
564,36,0,22,98,-1 
565,68,0,30,64,-1 
566,4,28,22,76,-1 
567,0,59,26,77,-1 
568,0,51,33,83,1 
569,53,0,28,87,1 
570,2,35,36,86,1 
571,55,11,26,66,-1 
572,54,2,17,80,-1 
573,45,0,22,79,1 
574,23,22,36,90,-1 
575,22,0,41,79,1 
576,43,0,34,73,-1 
577,21,19,31,74,-1 
578,36,42,14,53,1 
579,3,64,24,75,1 
