trial, S1, S2, R, T, xi
762,1,55,37,35,1 
763,0,0,49,132,-1 
764,0,0,208,128,1 
765,0,0,47,117,-1 
766,61,0,41,25,1 
767,0,0,48,138,-1 
768,70,34,26,18,1 
769,91,0,24,23,1 
770,0,0,47,114,-1 
771,0,0,50,125,-1 
772,0,0,211,134,1 
773,0,0,48,110,-1 
774,0,49,72,38,1 
775,14,82,22,22,1 
776,0,0,45,106,-1 
777,63,0,37,40,1 
778,0,0,60,99,-1 
779,0,0,87,134,1 
780,52,42,27,29,1 
781,0,0,42,141,-1 
782,0,0,47,123,-1 
783,0,0,55,109,-1 
784,0,0,60,128,-1 
785,0,0,48,128,-1 
786,0,114,32,9,1 
787,0,0,56,112,-1 
788,0,96,34,21,1 
789,67,0,44,38,1 
790,0,0,34,122,-1 
791,0,0,50,132,-1 
792,0,0,48,121,-1 
793,62,10,35,32,1 
794,0,0,46,131,-1 
795,13,61,43,30,1 
796,54,0,46,35,1 
797,65,0,35,28,1 
798,0,0,47,132,-1 
799,0,0,41,115,-1 
800,82,0,29,30,1 
801,0,0,45,140,-1 
802,0,42,44,42,1 
803,0,0,51,123,-1 
804,0,0,193,118,1 
805,0,88,17,39,1 
806,0,0,52,112,-1 
807,0,0,48,110,-1 
808,68,0,49,31,1 
809,0,83,18,18,1 
810,0,0,189,112,1 
811,0,0,32,119,-1 
812,0,0,49,127,-1 
813,0,21,58,63,1 
814,0,0,41,133,-1 
815,0,0,179,115,1 
816,0,0,65,130,-1 
817,0,0,52,125,-1 
818,0,0,50,98,-1 
819,0,0,50,99,-1 
820,0,0,46,128,-1 
821,0,0,63,122,-1 
822,46,0,46,38,1 
823,0,0,58,133,-1 
824,0,0,45,122,-1 
825,0,0,46,128,-1 
826,0,0,51,119,-1 
827,0,0,48,125,-1 
828,0,0,57,116,-1 
829,0,76,26,32,1 
830,24,47,37,29,1 
831,0,0,211,113,1 
832,0,0,219,130,1 
833,0,0,51,116,-1 
834,0,0,42,129,-1 
835,0,0,54,124,-1 
836,88,4,46,32,1 
837,0,0,47,121,-1 
838,0,0,203,134,1 
839,0,0,44,124,-1 
840,0,0,43,119,-1 
841,0,0,48,111,-1 
842,0,0,49,106,-1 
843,0,0,55,116,-1 
844,0,0,54,123,-1 
845,0,50,59,54,1 
846,0,0,37,139,-1 
847,48,36,24,30,1 
848,0,87,31,34,1 
849,0,110,30,24,1 
850,0,0,205,125,1 
851,82,4,28,26,1 
852,0,88,23,24,1 
853,51,0,52,33,1 
854,0,0,41,122,-1 
855,0,105,24,18,1 
856,84,0,29,21,1 
857,0,55,28,32,1 
858,90,0,25,25,1 
859,0,0,47,117,-1 
860,0,0,56,138,-1 
861,0,0,48,114,-1 
862,0,0,57,125,-1 
863,99,0,11,26,1 
864,0,0,182,129,1 
865,0,0,48,112,-1 
866,0,0,46,117,-1 
867,0,0,67,129,-1 
868,64,0,34,42,1 
869,0,0,52,109,-1 
870,0,0,51,137,-1 
871,0,0,50,125,-1 
872,0,0,64,152,-1 
873,0,0,29,140,-1 
874,0,0,49,133,-1 
875,0,0,56,135,-1 
876,41,34,30,25,1 
877,0,0,58,120,-1 
878,0,0,61,118,-1 
879,0,72,17,35,1 
880,40,0,12,32,-1 
881,0,46,58,60,1 
882,0,0,197,119,1 
883,0,0,43,126,-1 
884,0,0,49,126,-1 
885,0,0,52,115,-1 
886,0,0,48,136,-1 
887,0,0,47,136,-1 
888,0,0,38,134,-1 
889,73,0,25,25,1 
890,0,83,14,20,1 
891,0,0,44,131,-1 
892,0,0,41,126,-1 
893,0,0,57,141,-1 
894,19,32,43,30,1 
895,0,0,205,122,1 
896,0,0,49,140,-1 
897,71,0,23,23,1 
898,0,0,45,113,-1 
899,67,0,37,31,1 
900,0,0,55,126,-1 
901,71,5,35,30,1 
902,0,0,39,125,-1 
903,0,0,46,119,-1 
904,0,0,39,116,-1 
905,0,0,44,125,-1 
906,0,0,55,146,-1 
907,0,0,36,109,-1 
908,58,0,29,32,1 
909,0,0,43,93,-1 
910,0,0,45,130,-1 
911,0,0,49,127,-1 
912,0,0,48,116,-1 
913,0,0,63,120,-1 
914,0,0,158,119,1 
